Title,Company,Location,Tag,Type,Link,Posting Date,Best Matched Bucket,Matching Result,Matching Score
Structured Origination Summer College Intern,NextEra Energy,"Houston, TX",Energy,Intern,https://climatebase.org/job/47415013/structured-origination-summer-college-intern?utm_source=jobs_directory,2023-11-05,Bucket #9,Consumer Goods,58
Associate PGD Engineer - FPL Solar - North FL,NextEra Energy,"Hawthorne, FL",Energy,Full Time,https://climatebase.org/job/47386771/associate-pgd-engineer---fpl-solar---north-fl?utm_source=jobs_directory,2023-11-05,Bucket #5,Transportation Engineer,86
"Associate PGD Engineer - Fort Pierce, FL Area",NextEra Energy,"Fort Pierce, FL",Energy,Full Time,https://climatebase.org/job/47386761/associate-pgd-engineer---fort-pierce-fl-area?utm_source=jobs_directory,2023-11-05,Bucket #5,Transportation Engineer,86
Associate Sourcing Specialist,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47360699/associate-sourcing-specialist?utm_source=jobs_directory,2023-11-05,Bucket #5,LEED/Green Building Sustainability Specialist,86
Electrical Engineer II,NextEra Energy,"West Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47354338/electrical-engineer-ii?utm_source=jobs_directory,2023-11-05,Bucket #5,Carbon Capture and Sequestration Engineer,86
Mechanical Engineer II,NextEra Energy,"West Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47354280/mechanical-engineer-ii?utm_source=jobs_directory,2023-11-05,Bucket #5,Carbon Capture and Sequestration Engineer,86
"Field Operations HV Technician III - Cedar Springs: CO, WY, ND",NextEra Energy,"Douglas, WY",Energy,Full Time,https://climatebase.org/job/47342930/field-operations-hv-technician-iii---cedar-springs-co-wy-nd?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Overnight Associate Industrial Engine Operator / Mechanic - Carleton Farms Landfill - Michigan,NextEra Energy,"New Boston, MI",Energy,Full Time,https://climatebase.org/job/47342922/overnight-associate-industrial-engine-operator--mechanic---carleton-farms-landfill---michigan?utm_source=jobs_directory,2023-11-05,Bucket #1,Climate Artist,58
NextEra Analytics Research & Data Scientist - College Intern,NextEra Energy,"St. Paul, MN",Energy,Intern,https://climatebase.org/job/47335451/nextera-analytics-research--data-scientist---college-intern?utm_source=jobs_directory,2023-11-05,Bucket #1,Climate Science & Research,86
NextEra Analytics Measurement & Control Engineer - College Intern,NextEra Energy,"Juno Beach, FL",Energy,Intern,https://climatebase.org/job/47335440/nextera-analytics-measurement--control-engineer---college-intern?utm_source=jobs_directory,2023-11-05,Bucket #5,Transportation Engineer,86
NextEra Analytics Technical Sales - College Intern,NextEra Energy,"Juno Beach, FL",Energy,Intern,https://climatebase.org/job/47335439/nextera-analytics-technical-sales---college-intern?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,54
"Wind Technician III - White Hills Wind - White Hills, Arizona",NextEra Energy,"White Hills, AZ",Energy,Full Time,https://climatebase.org/job/47328179/wind-technician-iii---white-hills-wind---white-hills-arizona?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Senior Power Delivery Summer College Intern- Distribution,NextEra Energy,"Jupiter, FL",Energy,Intern,https://climatebase.org/job/47327913/senior-power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05,Bucket #1,Climate Scientist,48
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Ft Myers, FL",Energy,Intern,https://climatebase.org/job/47327912/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05,Bucket #7,Water Resource Management & Sanitation,50
"Wind Technician III - Horse Hollow Wind - Abilene, TX",NextEra Energy,"Wingate, TX",Energy,Full Time,https://climatebase.org/job/47327908/wind-technician-iii---horse-hollow-wind---abilene-tx?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Crew Leader - 1055 - Smith Plant,NextEra Energy,"Southport, FL",Energy,Full Time,https://climatebase.org/job/47327901/crew-leader---1055---smith-plant?utm_source=jobs_directory,2023-11-05,Bucket #5,Urban Planner,46
Associate Accountant,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47299357/associate-accountant?utm_source=jobs_directory,2023-11-05,Bucket #6,Sustainability Consultant,58
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Sanford, FL",Energy,Intern,https://climatebase.org/job/47299353/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05,Bucket #7,Water Resource Management & Sanitation,50
"PV Solar Field Technician II- Duane Arnold Solar I-Linn County, IA",NextEra Energy,"Palo, IA",Energy,Full Time,https://climatebase.org/job/47290496/pv-solar-field-technician-ii--duane-arnold-solar-i-linn-county-ia?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
"PV Solar Field Technician III - Yellow Pine Solar - Enterprise, NV",NextEra Energy,"Enterprise, NV",Energy,Full Time,https://climatebase.org/job/47290491/pv-solar-field-technician-iii---yellow-pine-solar---enterprise-nv?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
"PV Solar Field Technician II - Proxima, CA",NextEra Energy,"Five Points, CA",Energy,Full Time,https://climatebase.org/job/47290489/pv-solar-field-technician-ii---proxima-ca?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Senior Project Manager Development,NextEra Energy,"North Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47290488/senior-project-manager-development?utm_source=jobs_directory,2023-11-05,Bucket #7,Urban Farm Manager,86
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Bradenton, FL",Energy,Intern,https://climatebase.org/job/47273590/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05,Bucket #7,Water Resource Management & Sanitation,50
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Melbourne, FL",Energy,Intern,https://climatebase.org/job/47269361/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05,Bucket #7,Water Resource Management & Sanitation,50
"PV Solar Field Technician II - Yellow Pine Solar - Enterprise, NV",NextEra Energy,"Enterprise, NV",Energy,Full Time,https://climatebase.org/job/47234804/pv-solar-field-technician-ii---yellow-pine-solar---enterprise-nv?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Nuclear Electrical Engineer Associate,NextEra Energy,"Jupiter, FL",Energy,Full Time,https://climatebase.org/job/47225945/nuclear-electrical-engineer-associate?utm_source=jobs_directory,2023-11-05,Bucket #5,Transportation Engineer,86
"PV Solar Field Technician II - Stuttgart Solar - Stuttgart, AR",NextEra Energy,"Arkansas, AR",Energy,Full Time,https://climatebase.org/job/47225932/pv-solar-field-technician-ii---stuttgart-solar---stuttgart-ar?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Summer College Intern-Jupiter West Florida Nuclear Fleet,NextEra Energy,"Jupiter, FL",Energy,Intern,https://climatebase.org/job/47225928/summer-college-intern-jupiter-west-florida-nuclear-fleet?utm_source=jobs_directory,2023-11-05,Bucket #2,Green Entrepreneur,50
Summer College Internship -Jupiter West Florida Nuclear Fleet,NextEra Energy,"Jupiter, FL",Energy,Intern,https://climatebase.org/job/47225921/summer-college-internship--jupiter-west-florida-nuclear-fleet?utm_source=jobs_directory,2023-11-05,Bucket #2,Climate Finance,48
"PV Solar Field Technician II - Sky Ranch Solar - Belen, NM",NextEra Energy,"Seboyeta, NM",Energy,Full Time,https://climatebase.org/job/47225918/pv-solar-field-technician-ii---sky-ranch-solar---belen-nm?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Nuclear Electrical Engineer I,NextEra Energy,"Jupiter, FL",Energy,Full Time,https://climatebase.org/job/47217023/nuclear-electrical-engineer-i?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Engineer,59
Nuclear Civil Engineer II,NextEra Energy,"Seabrook, NH",Energy,Full Time,https://climatebase.org/job/47179371/nuclear-civil-engineer-ii?utm_source=jobs_directory,2023-11-05,Bucket #5,Carbon Capture and Sequestration Engineer,86
PGD Maintenance Specialist,NextEra Energy,"Ft Myers, FL",Energy,Full Time,https://climatebase.org/job/47168437/pgd-maintenance-specialist?utm_source=jobs_directory,2023-11-05,Bucket #5,LEED/Green Building Sustainability Specialist,86
"Associate Inventory Services Specialist - Callahan, FL",NextEra Energy,"Callahan, FL",Energy,Full Time,https://climatebase.org/job/47144509/associate-inventory-services-specialist---callahan-fl?utm_source=jobs_directory,2023-11-05,Bucket #2,Data Governance Specialist,86
Reactor Control Operator (Shift),NextEra Energy,"Jensen Beach, FL",Energy,Full Time,https://climatebase.org/job/47144495/reactor-control-operator-shift?utm_source=jobs_directory,2023-11-05,Bucket #7,Ecosystem Conservation,51
"Field Operations HV Technician III - Miles City, MT - Clearwater Wind",NextEra Energy,"Miles City, MT",Energy,Full Time,https://climatebase.org/job/47144493/field-operations-hv-technician-iii---miles-city-mt---clearwater-wind?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
EXPERIENCED Overhead Journeyman Lineman,NextEra Energy,"Hialeah, FL",Energy,Full Time,https://climatebase.org/job/47124405/experienced-overhead-journeyman-lineman?utm_source=jobs_directory,2023-11-05,Bucket #1,Environmental Journalist,49
"PV Solar Field Technician II - Distributive Generation - Rodeo, CA",NextEra Energy,"San Francisco, CA",Energy,Full Time,https://climatebase.org/job/47124388/pv-solar-field-technician-ii---distributive-generation---rodeo-ca?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
PGD Engineer - DG ROI - East Region,NextEra Energy,"White Plains, NY",Energy,Full Time,https://climatebase.org/job/47077588/pgd-engineer---dg-roi---east-region?utm_source=jobs_directory,2023-11-05,Bucket #5,Transportation Engineer,86
"Wind Technician III - High Lonesome Wind - Willard, NM",NextEra Energy,"Willard, NM",Energy,Full Time,https://climatebase.org/job/47062031/wind-technician-iii---high-lonesome-wind---willard-nm?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Business Management Leader,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47051491/business-management-leader?utm_source=jobs_directory,2023-11-05,Bucket #3,Environmental Finance & Risk Management,86
Energy Marketing & Trading - College Intern,NextEra Energy,"Juno Beach, FL",Energy,Intern,https://climatebase.org/job/47051410/energy-marketing--trading---college-intern?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy,86
Accounting College Part Time - Financial Center of Excellence,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47051403/accounting-college-part-time---financial-center-of-excellence?utm_source=jobs_directory,2023-11-05,Bucket #2,Climate Finance,60
"Wind Technician III - High Winds - Birds Landing, CA",NextEra Energy,"Birds Landing, CA",Energy,Full Time,https://climatebase.org/job/47037271/wind-technician-iii---high-winds---birds-landing-ca?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
PGD NERC CIP Cyber Security Specialist,NextEra Energy,"Ft Myers, FL",Energy,Full Time,https://climatebase.org/job/46995620/pgd-nerc-cip-cyber-security-specialist?utm_source=jobs_directory,2023-11-05,Bucket #2,Procurement Specialist,86
PGD Reliability Engineer - Midwest,NextEra Energy,"Williamsport, IN",Energy,Full Time,https://climatebase.org/job/46979765/pgd-reliability-engineer---midwest?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Engineer,57
Nuclear Mechanical Engineer II,NextEra Energy,"Seabrook, NH",Energy,Full Time,https://climatebase.org/job/46979764/nuclear-mechanical-engineer-ii?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Engineer,55
Field Tech III,NextEra Energy,"Rockledge, FL",Energy,Full Time,https://climatebase.org/job/46979724/field-tech-iii?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,51
Engineering Operator (Renewable Control Center),NextEra Energy,"Palm Beach Gardens, FL",Energy,Full Time,https://climatebase.org/job/46979705/engineering-operator-renewable-control-center?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy,86
"Wind Technician III -  Emmons- Logan: Linton, North Dakota",NextEra Energy,"Kintyre, ND",Energy,Full Time,https://climatebase.org/job/46979639/wind-technician-iii----emmons--logan-linton-north-dakota?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
"Wind Technician III - Clearwater Wind East- Miles City, MT",NextEra Energy,"MILES CITY, MT",Energy,Full Time,https://climatebase.org/job/46979623/wind-technician-iii---clearwater-wind-east--miles-city-mt?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Claims Agent II,NextEra Energy,"Miami, FL",Energy,Full Time,https://climatebase.org/job/46979619/claims-agent-ii?utm_source=jobs_directory,2023-11-05,Bucket #1,Climate Scientist,56
PV Solar Field Technician II: Rhode Island,NextEra Energy,"Johnston, RI",Energy,Full Time,https://climatebase.org/job/46979610/pv-solar-field-technician-ii-rhode-island?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
"Vegetation Maintenance Technician - Neptune Solar - Pueblo, CO",NextEra Energy,"Pueblo, CO",Energy,Full Time,https://climatebase.org/job/46979601/vegetation-maintenance-technician---neptune-solar---pueblo-co?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Principal Salesforce Engineer,NextEra Energy,"North Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/46979586/principal-salesforce-engineer?utm_source=jobs_directory,2023-11-05,Bucket #7,Water Resource Engineer,65
FPL - Power Generation Division Engineering Internship,NextEra Energy,"Palm Beach Gardens, FL",Energy,Intern,https://climatebase.org/job/46979579/fpl---power-generation-division-engineering-internship?utm_source=jobs_directory,2023-11-05,Bucket #5,Transportation Engineer,58
NEER - Power Generation Division Engineering Internship,NextEra Energy,"Palm Beach Gardens, FL",Energy,Intern,https://climatebase.org/job/46979578/neer---power-generation-division-engineering-internship?utm_source=jobs_directory,2023-11-05,Bucket #5,Transportation Engineer,60
"PV Solar Field Technician II - Saint Solar - Coolidge, Az",NextEra Energy,"Coolidge, AZ",Energy,Full Time,https://climatebase.org/job/46979570/pv-solar-field-technician-ii---saint-solar---coolidge-az?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Subaward Compliance Manager,The Environmental Defense Fund,Remote (US),Advocacy or Policy,Full Time,https://climatebase.org/job/47474422/subaward-compliance-manager?utm_source=jobs_directory,,Bucket #7,Urban Farm Manager,86
Atkinson Postdoctoral Science Fellow,The Environmental Defense Fund,Remote (US),Advocacy or Policy,Fellow,https://climatebase.org/job/47474421/atkinson-postdoctoral-science-fellow?utm_source=jobs_directory,,Bucket #2,Environmental Data Science,52
"Data Processing Operator – MethaneSAT, LLC",The Environmental Defense Fund,Remote (US),Advocacy or Policy,Full Time,https://climatebase.org/job/47474420/data-processing-operator--methanesat-llc?utm_source=jobs_directory,,Bucket #2,Environmental Data Science,86
2L Legal Intern,The Environmental Defense Fund,"Remote (Washington, DC, US)",Advocacy or Policy,Intern,https://climatebase.org/job/47474418/2l-legal-intern?utm_source=jobs_directory,,Bucket #1,International Development,51
2L Legal Intern,The Environmental Defense Fund,"Remote (Boulder, CO, US)",Advocacy or Policy,Intern,https://climatebase.org/job/47474414/2l-legal-intern?utm_source=jobs_directory,,Bucket #1,International Development,51
Grassroots Communications Intern,The Environmental Defense Fund,Remote (US),Advocacy or Policy,Intern,https://climatebase.org/job/47474413/grassroots-communications-intern?utm_source=jobs_directory,,Bucket #1,Green Marketing & Communication,66
Geospatial Data Analysis Intern,The Environmental Defense Fund,"Remote (Austin, TX, US)",Advocacy or Policy,Intern,https://climatebase.org/job/47474407/geospatial-data-analysis-intern?utm_source=jobs_directory,,Bucket #2,Climate Data Analysis & Modeling,60
Economics and Policy Graduate Intern,The Environmental Defense Fund,"Remote (New York, NY, US)",Advocacy or Policy,Intern,https://climatebase.org/job/47474401/economics-and-policy-graduate-intern?utm_source=jobs_directory,,Bucket #1,Climate Policy Analysis,86
Fundraising and Engagement Specialist,Center for EcoTechnology,"Remote (Northampton, Massachusetts)",Energy,Full Time,https://climatebase.org/job/47471303/fundraising-and-engagement-specialist?utm_source=jobs_directory,,Bucket #2,Procurement Specialist,86
Yale-NRDC Environmental Law Fellow,Natural Resources Defense Council,US,Advocacy or Policy,Fellow,https://climatebase.org/job/47471370/yale-nrdc-environmental-law-fellow?utm_source=jobs_directory,,Bucket #1,Climate Law & Policy,86
Principal Gifts Associate,Natural Resources Defense Council,"New York, NY, US",Advocacy or Policy,Full Time,https://climatebase.org/job/47471365/principal-gifts-associate?utm_source=jobs_directory,,Bucket #1,Climate Policy Analysis,48
Summer 2024 Legal Intern,Natural Resources Defense Council,US,Advocacy or Policy,Intern,https://climatebase.org/job/47471362/summer-2024-legal-intern?utm_source=jobs_directory,,Bucket #6,Waste-to-Energy Engineer,46
Spring Legal Intern,Natural Resources Defense Council,"Washington, DC, US",Advocacy or Policy,Intern,https://climatebase.org/job/47471359/spring-legal-intern?utm_source=jobs_directory,,Bucket #5,Transportation Engineer,57
Howard-NRDC Environmental Justice Legal Fellow,Natural Resources Defense Council,"New York, NY, US",Advocacy or Policy,Fellow,https://climatebase.org/job/47471357/howard-nrdc-environmental-justice-legal-fellow?utm_source=jobs_directory,,Bucket #1,Environmental Policy Analyst,86
Wiring Technician,Crusoe,"Arvada, CO",Energy,Full Time,https://climatebase.org/job/47470707/wiring-technician?utm_source=jobs_directory,,Bucket #6,Renewable Energy Technician,86
Software Engineer,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47469902/software-engineer?utm_source=jobs_directory,,Bucket #5,Carbon Capture and Sequestration Engineer,86
"Sr PGD Engineer - ROI/BESS - Jacksonville, FL",NextEra Energy,"Hawthorne, FL",Energy,Full Time,https://climatebase.org/job/47469698/sr-pgd-engineer---roibess---jacksonville-fl?utm_source=jobs_directory,,Bucket #5,Transportation Engineer,86
PGD Business Services Tech I,NextEra Energy,"Palm Beach Gardens, FL",Energy,Full Time,https://climatebase.org/job/47469634/pgd-business-services-tech-i?utm_source=jobs_directory,,Bucket #5,Sustainable Materials Researcher,47
Process Safety (Oil & Gas) - College Intern,NextEra Energy,"Houston, TX",Energy,Intern,https://climatebase.org/job/47469632/process-safety-oil--gas---college-intern?utm_source=jobs_directory,,Bucket #4,Environmental Health & Safety,45
Nuclear Electrical Engineer II,NextEra Energy,"Jupiter, FL",Energy,Full Time,https://climatebase.org/job/47469631/nuclear-electrical-engineer-ii?utm_source=jobs_directory,,Bucket #6,Renewable Energy Engineer,58
"Senior Manager, Transmission Business Management",NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47469630/senior-manager-transmission-business-management?utm_source=jobs_directory,,Bucket #1,Sustainability Marketing Manager,86
"PV Solar Field Technician III/DC Field Team - Silver State Solar - Enterprise, NV",NextEra Energy,"Las Vegas, NV",Energy,Full Time,https://climatebase.org/job/47469629/pv-solar-field-technician-iiidc-field-team---silver-state-solar---enterprise-nv?utm_source=jobs_directory,,Bucket #6,Renewable Energy Technician,86
Nuclear Electrical Engineer Senior,NextEra Energy,"Jupiter, FL",Energy,Full Time,https://climatebase.org/job/47469628/nuclear-electrical-engineer-senior?utm_source=jobs_directory,,Bucket #6,Renewable Energy Engineer,55
Manager Supply Chain,NextEra Energy,"West Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47441002/manager-supply-chain?utm_source=jobs_directory,,Bucket #1,Sustainability Marketing Manager,86
Rotation Business Associate - NextEra,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47415010/rotation-business-associate---nextera?utm_source=jobs_directory,,Bucket #5,Transportation Engineer,55
Economics and Policy Graduate Intern,The Environmental Defense Fund,"Remote (New York, NY, US)",Advocacy or Policy,Intern,https://climatebase.org/job/47466402/economics-and-policy-graduate-intern?utm_source=jobs_directory,2023-11-08,Bucket #1,Climate Policy Analysis,86
Senior Water Advisor (Mining & Industry) - Remote,Waterplan,Remote (US),Climate Adaptation,Full Time,https://climatebase.org/job/47462365/senior-water-advisor-mining--industry---remote-?utm_source=jobs_directory,2023-11-08,Bucket #3,Climate Policy Advisor,86
Food Policy Intern,Friends of the Earth,"Remote (Washington, District of Columbia)",Advocacy or Policy,Intern,https://climatebase.org/job/47459940/food-policy-intern?utm_source=jobs_directory,2023-11-08,Bucket #1,Environmental Policy Analyst,86
Associate Diesel Automotive Technician,NextEra Energy,"Sarasota, FL",Energy,Full Time,https://climatebase.org/job/47460626/associate-diesel-automotive-technician?utm_source=jobs_directory,2023-11-08,Bucket #1,Climate Scientist,53
Associate Diesel Technician,NextEra Energy,"Ft Myers, FL",Energy,Full Time,https://climatebase.org/job/47460621/associate-diesel-technician?utm_source=jobs_directory,2023-11-08,Bucket #6,Renewable Energy Technician,59
Procurement Intern,Amogy,"Houston, Texas, United States",Energy,Intern,https://climatebase.org/job/47455101/procurement-intern?utm_source=jobs_directory,2023-11-07,Bucket #2,Procurement Specialist,72
Manufacturing Engineering Intern 2,Amogy,"Houston, Texas, United States",Energy,Intern,https://climatebase.org/job/47455097/manufacturing-engineering-intern-2?utm_source=jobs_directory,2023-11-07,Bucket #5,Transportation Engineer,57
Manufacturing Engineering Intern 1,Amogy,"Houston, Texas, United States",Energy,Intern,https://climatebase.org/job/47455096/manufacturing-engineering-intern-1?utm_source=jobs_directory,2023-11-07,Bucket #5,Transportation Engineer,57
Wind Technician III - Little Cotton Cluster - Campbell NE,NextEra Energy,"Campbell, NE",Energy,Full Time,https://climatebase.org/job/47451867/wind-technician-iii---little-cotton-cluster---campbell-ne?utm_source=jobs_directory,2023-11-07,Bucket #6,Renewable Energy Technician,86
Control Operator (Plant Point Beach),NextEra Energy,"Two Rivers, WI",Energy,Full Time,https://climatebase.org/job/47443249/control-operator-plant-point-beach?utm_source=jobs_directory,2023-11-06,Bucket #8,Environmental Education & Outreach,52
Sr PGD Engineer,NextEra Energy,"Hawthorne, FL",Energy,Full Time,https://climatebase.org/job/47443035/sr-pgd-engineer?utm_source=jobs_directory,2023-11-06,Bucket #5,Transportation Engineer,86
Assoc Gas Operations Technician,NextEra Energy,"Salt Lake, UT",Energy,Full Time,https://climatebase.org/job/47443007/assoc-gas-operations-technician?utm_source=jobs_directory,2023-11-06,Bucket #5,Transportation Engineer,52
Associate Resource Modeling Analyst WL,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47442998/associate-resource-modeling-analyst-wl?utm_source=jobs_directory,2023-11-06,Bucket #3,Climate Risk Analyst,86
Environmental Services Project Manager,NextEra Energy,"Houston, TX",Energy,Full Time,https://climatebase.org/job/47335502/environmental-services-project-manager?utm_source=jobs_directory,2023-11-06,Bucket #1,Environmental Organizer,86
Senior Fossil Reliability Engineer,NextEra Energy,"Palm Beach Gardens, FL",Energy,Full Time,https://climatebase.org/job/47327899/senior-fossil-reliability-engineer?utm_source=jobs_directory,2023-11-06,Bucket #6,Waste-to-Energy Engineer,55
"Wind Technician III - Woodward Mountain - McCamey, TX",NextEra Energy,"McCamey, TX",Energy,Full Time,https://climatebase.org/job/47242689/wind-technician-iii---woodward-mountain---mccamey-tx?utm_source=jobs_directory,2023-11-06,Bucket #6,Renewable Energy Technician,86
"Wind Technician III - Lacy Creek - Garden City, TX",NextEra Energy,"Garden City, TX",Energy,Full Time,https://climatebase.org/job/46979627/wind-technician-iii---lacy-creek---garden-city-tx?utm_source=jobs_directory,2023-11-06,Bucket #6,Renewable Energy Technician,86
"Project Engineering Leader, Solar (Remote) - Distributed Generation",NextEra Energy,"Remote (Juno Beach, FL)",Energy,Full Time,https://climatebase.org/job/47290505/project-engineering-leader-solar-remote---distributed-generation?utm_source=jobs_directory,2023-11-05,Bucket #6,Sustainable Energy Project Manager,86
Customer Service Advisor - Summer Intern 2024,NextEra Energy,"Miami, FL",Energy,Intern,https://climatebase.org/job/47441117/customer-service-advisor---summer-intern-2024?utm_source=jobs_directory,2023-11-05,Bucket #3,Climate Policy Advisor,86
Project Management Consultant - E&C,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47415024/project-management-consultant---ec?utm_source=jobs_directory,2023-11-05,Bucket #2,Supply Chain Management,86
Associate PGD Engineer,NextEra Energy,"Palm Beach Gardens, FL",Energy,Full Time,https://climatebase.org/job/47415018/associate-pgd-engineer?utm_source=jobs_directory,2023-11-05,Bucket #5,Carbon Capture and Sequestration Engineer,86
Structured Origination Summer College Intern,NextEra Energy,"Houston, TX",Energy,Intern,https://climatebase.org/job/47415013/structured-origination-summer-college-intern?utm_source=jobs_directory,2023-11-05,Bucket #9,Consumer Goods,58
Associate PGD Engineer - FPL Solar - North FL,NextEra Energy,"Hawthorne, FL",Energy,Full Time,https://climatebase.org/job/47386771/associate-pgd-engineer---fpl-solar---north-fl?utm_source=jobs_directory,2023-11-05,Bucket #5,Transportation Engineer,86
"Associate PGD Engineer - Fort Pierce, FL Area",NextEra Energy,"Fort Pierce, FL",Energy,Full Time,https://climatebase.org/job/47386761/associate-pgd-engineer---fort-pierce-fl-area?utm_source=jobs_directory,2023-11-05,Bucket #5,Transportation Engineer,86
Associate Sourcing Specialist,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47360699/associate-sourcing-specialist?utm_source=jobs_directory,2023-11-05,Bucket #5,LEED/Green Building Sustainability Specialist,86
Electrical Engineer II,NextEra Energy,"West Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47354338/electrical-engineer-ii?utm_source=jobs_directory,2023-11-05,Bucket #5,Carbon Capture and Sequestration Engineer,86
Mechanical Engineer II,NextEra Energy,"West Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47354280/mechanical-engineer-ii?utm_source=jobs_directory,2023-11-05,Bucket #5,Carbon Capture and Sequestration Engineer,86
"Field Operations HV Technician III - Cedar Springs: CO, WY, ND",NextEra Energy,"Douglas, WY",Energy,Full Time,https://climatebase.org/job/47342930/field-operations-hv-technician-iii---cedar-springs-co-wy-nd?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Overnight Associate Industrial Engine Operator / Mechanic - Carleton Farms Landfill - Michigan,NextEra Energy,"New Boston, MI",Energy,Full Time,https://climatebase.org/job/47342922/overnight-associate-industrial-engine-operator--mechanic---carleton-farms-landfill---michigan?utm_source=jobs_directory,2023-11-05,Bucket #1,Climate Artist,58
NextEra Analytics Research & Data Scientist - College Intern,NextEra Energy,"St. Paul, MN",Energy,Intern,https://climatebase.org/job/47335451/nextera-analytics-research--data-scientist---college-intern?utm_source=jobs_directory,2023-11-05,Bucket #1,Climate Science & Research,86
NextEra Analytics Measurement & Control Engineer - College Intern,NextEra Energy,"Juno Beach, FL",Energy,Intern,https://climatebase.org/job/47335440/nextera-analytics-measurement--control-engineer---college-intern?utm_source=jobs_directory,2023-11-05,Bucket #5,Transportation Engineer,86
NextEra Analytics Technical Sales - College Intern,NextEra Energy,"Juno Beach, FL",Energy,Intern,https://climatebase.org/job/47335439/nextera-analytics-technical-sales---college-intern?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,54
"Wind Technician III - White Hills Wind - White Hills, Arizona",NextEra Energy,"White Hills, AZ",Energy,Full Time,https://climatebase.org/job/47328179/wind-technician-iii---white-hills-wind---white-hills-arizona?utm_source=jobs_directory,2023-11-05,Bucket #6,Renewable Energy Technician,86
Senior Power Delivery Summer College Intern- Distribution,NextEra Energy,"Jupiter, FL",Energy,Intern,https://climatebase.org/job/47327913/senior-power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05,Bucket #1,Climate Scientist,48
