Title,Company,Location,Tag,Type,Link,Posting Date
"Associate PGD Engineer - Fort Pierce, FL Area",NextEra Energy,"Fort Pierce, FL",Energy,Full Time,https://climatebase.org/job/47386761/associate-pgd-engineer---fort-pierce-fl-area?utm_source=jobs_directory,2023-11-05
Associate Sourcing Specialist,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47360699/associate-sourcing-specialist?utm_source=jobs_directory,2023-11-05
Electrical Engineer II,NextEra Energy,"West Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47354338/electrical-engineer-ii?utm_source=jobs_directory,2023-11-05
Mechanical Engineer II,NextEra Energy,"West Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47354280/mechanical-engineer-ii?utm_source=jobs_directory,2023-11-05
"Field Operations HV Technician III - Cedar Springs: CO, WY, ND",NextEra Energy,"Douglas, WY",Energy,Full Time,https://climatebase.org/job/47342930/field-operations-hv-technician-iii---cedar-springs-co-wy-nd?utm_source=jobs_directory,2023-11-05
Overnight Associate Industrial Engine Operator / Mechanic - Carleton Farms Landfill - Michigan,NextEra Energy,"New Boston, MI",Energy,Full Time,https://climatebase.org/job/47342922/overnight-associate-industrial-engine-operator--mechanic---carleton-farms-landfill---michigan?utm_source=jobs_directory,2023-11-05
NextEra Analytics Research & Data Scientist - College Intern,NextEra Energy,"St. Paul, MN",Energy,Intern,https://climatebase.org/job/47335451/nextera-analytics-research--data-scientist---college-intern?utm_source=jobs_directory,2023-11-05
NextEra Analytics Measurement & Control Engineer - College Intern,NextEra Energy,"Juno Beach, FL",Energy,Intern,https://climatebase.org/job/47335440/nextera-analytics-measurement--control-engineer---college-intern?utm_source=jobs_directory,2023-11-05
NextEra Analytics Technical Sales - College Intern,NextEra Energy,"Juno Beach, FL",Energy,Intern,https://climatebase.org/job/47335439/nextera-analytics-technical-sales---college-intern?utm_source=jobs_directory,2023-11-05
"Wind Technician III - White Hills Wind - White Hills, Arizona",NextEra Energy,"White Hills, AZ",Energy,Full Time,https://climatebase.org/job/47328179/wind-technician-iii---white-hills-wind---white-hills-arizona?utm_source=jobs_directory,2023-11-05
Senior Power Delivery Summer College Intern- Distribution,NextEra Energy,"Jupiter, FL",Energy,Intern,https://climatebase.org/job/47327913/senior-power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Ft Myers, FL",Energy,Intern,https://climatebase.org/job/47327912/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05
"Wind Technician III - Horse Hollow Wind - Abilene, TX",NextEra Energy,"Wingate, TX",Energy,Full Time,https://climatebase.org/job/47327908/wind-technician-iii---horse-hollow-wind---abilene-tx?utm_source=jobs_directory,2023-11-05
Crew Leader - 1055 - Smith Plant,NextEra Energy,"Southport, FL",Energy,Full Time,https://climatebase.org/job/47327901/crew-leader---1055---smith-plant?utm_source=jobs_directory,2023-11-05
Associate Accountant,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47299357/associate-accountant?utm_source=jobs_directory,2023-11-05
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Sanford, FL",Energy,Intern,https://climatebase.org/job/47299353/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II- Duane Arnold Solar I-Linn County, IA",NextEra Energy,"Palo, IA",Energy,Full Time,https://climatebase.org/job/47290496/pv-solar-field-technician-ii--duane-arnold-solar-i-linn-county-ia?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician III - Yellow Pine Solar - Enterprise, NV",NextEra Energy,"Enterprise, NV",Energy,Full Time,https://climatebase.org/job/47290491/pv-solar-field-technician-iii---yellow-pine-solar---enterprise-nv?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Proxima, CA",NextEra Energy,"Five Points, CA",Energy,Full Time,https://climatebase.org/job/47290489/pv-solar-field-technician-ii---proxima-ca?utm_source=jobs_directory,2023-11-05
Senior Project Manager Development,NextEra Energy,"North Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47290488/senior-project-manager-development?utm_source=jobs_directory,2023-11-05
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Bradenton, FL",Energy,Intern,https://climatebase.org/job/47273590/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Melbourne, FL",Energy,Intern,https://climatebase.org/job/47269361/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Yellow Pine Solar - Enterprise, NV",NextEra Energy,"Enterprise, NV",Energy,Full Time,https://climatebase.org/job/47234804/pv-solar-field-technician-ii---yellow-pine-solar---enterprise-nv?utm_source=jobs_directory,2023-11-05
Nuclear Electrical Engineer Associate,NextEra Energy,"Jupiter, FL",Energy,Full Time,https://climatebase.org/job/47225945/nuclear-electrical-engineer-associate?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Stuttgart Solar - Stuttgart, AR",NextEra Energy,"Arkansas, AR",Energy,Full Time,https://climatebase.org/job/47225932/pv-solar-field-technician-ii---stuttgart-solar---stuttgart-ar?utm_source=jobs_directory,2023-11-05
Summer College Intern-Jupiter West Florida Nuclear Fleet,NextEra Energy,"Jupiter, FL",Energy,Intern,https://climatebase.org/job/47225928/summer-college-intern-jupiter-west-florida-nuclear-fleet?utm_source=jobs_directory,2023-11-05
Summer College Internship -Jupiter West Florida Nuclear Fleet,NextEra Energy,"Jupiter, FL",Energy,Intern,https://climatebase.org/job/47225921/summer-college-internship--jupiter-west-florida-nuclear-fleet?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Sky Ranch Solar - Belen, NM",NextEra Energy,"Seboyeta, NM",Energy,Full Time,https://climatebase.org/job/47225918/pv-solar-field-technician-ii---sky-ranch-solar---belen-nm?utm_source=jobs_directory,2023-11-05
Nuclear Electrical Engineer I,NextEra Energy,"Jupiter, FL",Energy,Full Time,https://climatebase.org/job/47217023/nuclear-electrical-engineer-i?utm_source=jobs_directory,2023-11-05
Nuclear Civil Engineer II,NextEra Energy,"Seabrook, NH",Energy,Full Time,https://climatebase.org/job/47179371/nuclear-civil-engineer-ii?utm_source=jobs_directory,2023-11-05
PGD Maintenance Specialist,NextEra Energy,"Ft Myers, FL",Energy,Full Time,https://climatebase.org/job/47168437/pgd-maintenance-specialist?utm_source=jobs_directory,2023-11-05
"Associate Inventory Services Specialist - Callahan, FL",NextEra Energy,"Callahan, FL",Energy,Full Time,https://climatebase.org/job/47144509/associate-inventory-services-specialist---callahan-fl?utm_source=jobs_directory,2023-11-05
Reactor Control Operator (Shift),NextEra Energy,"Jensen Beach, FL",Energy,Full Time,https://climatebase.org/job/47144495/reactor-control-operator-shift?utm_source=jobs_directory,2023-11-05
"Field Operations HV Technician III - Miles City, MT - Clearwater Wind",NextEra Energy,"Miles City, MT",Energy,Full Time,https://climatebase.org/job/47144493/field-operations-hv-technician-iii---miles-city-mt---clearwater-wind?utm_source=jobs_directory,2023-11-05
EXPERIENCED Overhead Journeyman Lineman,NextEra Energy,"Hialeah, FL",Energy,Full Time,https://climatebase.org/job/47124405/experienced-overhead-journeyman-lineman?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Distributive Generation - Rodeo, CA",NextEra Energy,"San Francisco, CA",Energy,Full Time,https://climatebase.org/job/47124388/pv-solar-field-technician-ii---distributive-generation---rodeo-ca?utm_source=jobs_directory,2023-11-05
PGD Engineer - DG ROI - East Region,NextEra Energy,"White Plains, NY",Energy,Full Time,https://climatebase.org/job/47077588/pgd-engineer---dg-roi---east-region?utm_source=jobs_directory,2023-11-05
"Wind Technician III - High Lonesome Wind - Willard, NM",NextEra Energy,"Willard, NM",Energy,Full Time,https://climatebase.org/job/47062031/wind-technician-iii---high-lonesome-wind---willard-nm?utm_source=jobs_directory,2023-11-05
Business Management Leader,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47051491/business-management-leader?utm_source=jobs_directory,2023-11-05
Energy Marketing & Trading - College Intern,NextEra Energy,"Juno Beach, FL",Energy,Intern,https://climatebase.org/job/47051410/energy-marketing--trading---college-intern?utm_source=jobs_directory,2023-11-05
Accounting College Part Time - Financial Center of Excellence,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47051403/accounting-college-part-time---financial-center-of-excellence?utm_source=jobs_directory,2023-11-05
"Wind Technician III - High Winds - Birds Landing, CA",NextEra Energy,"Birds Landing, CA",Energy,Full Time,https://climatebase.org/job/47037271/wind-technician-iii---high-winds---birds-landing-ca?utm_source=jobs_directory,2023-11-05
PGD NERC CIP Cyber Security Specialist,NextEra Energy,"Ft Myers, FL",Energy,Full Time,https://climatebase.org/job/46995620/pgd-nerc-cip-cyber-security-specialist?utm_source=jobs_directory,2023-11-05
PGD Reliability Engineer - Midwest,NextEra Energy,"Williamsport, IN",Energy,Full Time,https://climatebase.org/job/46979765/pgd-reliability-engineer---midwest?utm_source=jobs_directory,2023-11-05
Nuclear Mechanical Engineer II,NextEra Energy,"Seabrook, NH",Energy,Full Time,https://climatebase.org/job/46979764/nuclear-mechanical-engineer-ii?utm_source=jobs_directory,2023-11-05
Field Tech III,NextEra Energy,"Rockledge, FL",Energy,Full Time,https://climatebase.org/job/46979724/field-tech-iii?utm_source=jobs_directory,2023-11-05
Engineering Operator (Renewable Control Center),NextEra Energy,"Palm Beach Gardens, FL",Energy,Full Time,https://climatebase.org/job/46979705/engineering-operator-renewable-control-center?utm_source=jobs_directory,2023-11-05
"Wind Technician III -  Emmons- Logan: Linton, North Dakota",NextEra Energy,"Kintyre, ND",Energy,Full Time,https://climatebase.org/job/46979639/wind-technician-iii----emmons--logan-linton-north-dakota?utm_source=jobs_directory,2023-11-05
"Wind Technician III - Clearwater Wind East- Miles City, MT",NextEra Energy,"MILES CITY, MT",Energy,Full Time,https://climatebase.org/job/46979623/wind-technician-iii---clearwater-wind-east--miles-city-mt?utm_source=jobs_directory,2023-11-05
Claims Agent II,NextEra Energy,"Miami, FL",Energy,Full Time,https://climatebase.org/job/46979619/claims-agent-ii?utm_source=jobs_directory,2023-11-05
PV Solar Field Technician II: Rhode Island,NextEra Energy,"Johnston, RI",Energy,Full Time,https://climatebase.org/job/46979610/pv-solar-field-technician-ii-rhode-island?utm_source=jobs_directory,2023-11-05
"Vegetation Maintenance Technician - Neptune Solar - Pueblo, CO",NextEra Energy,"Pueblo, CO",Energy,Full Time,https://climatebase.org/job/46979601/vegetation-maintenance-technician---neptune-solar---pueblo-co?utm_source=jobs_directory,2023-11-05
Principal Salesforce Engineer,NextEra Energy,"North Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/46979586/principal-salesforce-engineer?utm_source=jobs_directory,2023-11-05
FPL - Power Generation Division Engineering Internship,NextEra Energy,"Palm Beach Gardens, FL",Energy,Intern,https://climatebase.org/job/46979579/fpl---power-generation-division-engineering-internship?utm_source=jobs_directory,2023-11-05
NEER - Power Generation Division Engineering Internship,NextEra Energy,"Palm Beach Gardens, FL",Energy,Intern,https://climatebase.org/job/46979578/neer---power-generation-division-engineering-internship?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Saint Solar - Coolidge, Az",NextEra Energy,"Coolidge, AZ",Energy,Full Time,https://climatebase.org/job/46979570/pv-solar-field-technician-ii---saint-solar---coolidge-az?utm_source=jobs_directory,2023-11-05
Subaward Compliance Manager,The Environmental Defense Fund,Remote (US),Advocacy or Policy,Full Time,https://climatebase.org/job/47474422/subaward-compliance-manager?utm_source=jobs_directory,
Atkinson Postdoctoral Science Fellow,The Environmental Defense Fund,Remote (US),Advocacy or Policy,Fellow,https://climatebase.org/job/47474421/atkinson-postdoctoral-science-fellow?utm_source=jobs_directory,
"Data Processing Operator – MethaneSAT, LLC",The Environmental Defense Fund,Remote (US),Advocacy or Policy,Full Time,https://climatebase.org/job/47474420/data-processing-operator--methanesat-llc?utm_source=jobs_directory,
2L Legal Intern,The Environmental Defense Fund,"Remote (Washington, DC, US)",Advocacy or Policy,Intern,https://climatebase.org/job/47474418/2l-legal-intern?utm_source=jobs_directory,
2L Legal Intern,The Environmental Defense Fund,"Remote (Boulder, CO, US)",Advocacy or Policy,Intern,https://climatebase.org/job/47474414/2l-legal-intern?utm_source=jobs_directory,
Grassroots Communications Intern,The Environmental Defense Fund,Remote (US),Advocacy or Policy,Intern,https://climatebase.org/job/47474413/grassroots-communications-intern?utm_source=jobs_directory,
Geospatial Data Analysis Intern,The Environmental Defense Fund,"Remote (Austin, TX, US)",Advocacy or Policy,Intern,https://climatebase.org/job/47474407/geospatial-data-analysis-intern?utm_source=jobs_directory,
Economics and Policy Graduate Intern,The Environmental Defense Fund,"Remote (New York, NY, US)",Advocacy or Policy,Intern,https://climatebase.org/job/47474401/economics-and-policy-graduate-intern?utm_source=jobs_directory,
Fundraising and Engagement Specialist,Center for EcoTechnology,"Remote (Northampton, Massachusetts)",Energy,Full Time,https://climatebase.org/job/47471303/fundraising-and-engagement-specialist?utm_source=jobs_directory,
Yale-NRDC Environmental Law Fellow,Natural Resources Defense Council,US,Advocacy or Policy,Fellow,https://climatebase.org/job/47471370/yale-nrdc-environmental-law-fellow?utm_source=jobs_directory,
Principal Gifts Associate,Natural Resources Defense Council,"New York, NY, US",Advocacy or Policy,Full Time,https://climatebase.org/job/47471365/principal-gifts-associate?utm_source=jobs_directory,
Summer 2024 Legal Intern,Natural Resources Defense Council,US,Advocacy or Policy,Intern,https://climatebase.org/job/47471362/summer-2024-legal-intern?utm_source=jobs_directory,
Spring Legal Intern,Natural Resources Defense Council,"Washington, DC, US",Advocacy or Policy,Intern,https://climatebase.org/job/47471359/spring-legal-intern?utm_source=jobs_directory,
Howard-NRDC Environmental Justice Legal Fellow,Natural Resources Defense Council,"New York, NY, US",Advocacy or Policy,Fellow,https://climatebase.org/job/47471357/howard-nrdc-environmental-justice-legal-fellow?utm_source=jobs_directory,
Wiring Technician,Crusoe,"Arvada, CO",Energy,Full Time,https://climatebase.org/job/47470707/wiring-technician?utm_source=jobs_directory,
Software Engineer,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47469902/software-engineer?utm_source=jobs_directory,
"Sr PGD Engineer - ROI/BESS - Jacksonville, FL",NextEra Energy,"Hawthorne, FL",Energy,Full Time,https://climatebase.org/job/47469698/sr-pgd-engineer---roibess---jacksonville-fl?utm_source=jobs_directory,
PGD Business Services Tech I,NextEra Energy,"Palm Beach Gardens, FL",Energy,Full Time,https://climatebase.org/job/47469634/pgd-business-services-tech-i?utm_source=jobs_directory,
Process Safety (Oil & Gas) - College Intern,NextEra Energy,"Houston, TX",Energy,Intern,https://climatebase.org/job/47469632/process-safety-oil--gas---college-intern?utm_source=jobs_directory,
Nuclear Electrical Engineer II,NextEra Energy,"Jupiter, FL",Energy,Full Time,https://climatebase.org/job/47469631/nuclear-electrical-engineer-ii?utm_source=jobs_directory,
"Senior Manager, Transmission Business Management",NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47469630/senior-manager-transmission-business-management?utm_source=jobs_directory,
"PV Solar Field Technician III/DC Field Team - Silver State Solar - Enterprise, NV",NextEra Energy,"Las Vegas, NV",Energy,Full Time,https://climatebase.org/job/47469629/pv-solar-field-technician-iiidc-field-team---silver-state-solar---enterprise-nv?utm_source=jobs_directory,
Nuclear Electrical Engineer Senior,NextEra Energy,"Jupiter, FL",Energy,Full Time,https://climatebase.org/job/47469628/nuclear-electrical-engineer-senior?utm_source=jobs_directory,
Manager Supply Chain,NextEra Energy,"West Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47441002/manager-supply-chain?utm_source=jobs_directory,
Rotation Business Associate - NextEra,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47415010/rotation-business-associate---nextera?utm_source=jobs_directory,
Economics and Policy Graduate Intern,The Environmental Defense Fund,"Remote (New York, NY, US)",Advocacy or Policy,Intern,https://climatebase.org/job/47466402/economics-and-policy-graduate-intern?utm_source=jobs_directory,2023-11-08
Senior Water Advisor (Mining & Industry) - Remote,Waterplan,Remote (US),Climate Adaptation,Full Time,https://climatebase.org/job/47462365/senior-water-advisor-mining--industry---remote-?utm_source=jobs_directory,2023-11-08
Food Policy Intern,Friends of the Earth,"Remote (Washington, District of Columbia)",Advocacy or Policy,Intern,https://climatebase.org/job/47459940/food-policy-intern?utm_source=jobs_directory,2023-11-08
Associate Diesel Automotive Technician,NextEra Energy,"Sarasota, FL",Energy,Full Time,https://climatebase.org/job/47460626/associate-diesel-automotive-technician?utm_source=jobs_directory,2023-11-08
Associate Diesel Technician,NextEra Energy,"Ft Myers, FL",Energy,Full Time,https://climatebase.org/job/47460621/associate-diesel-technician?utm_source=jobs_directory,2023-11-08
Procurement Intern,Amogy,"Houston, Texas, United States",Energy,Intern,https://climatebase.org/job/47455101/procurement-intern?utm_source=jobs_directory,2023-11-07
Manufacturing Engineering Intern 2,Amogy,"Houston, Texas, United States",Energy,Intern,https://climatebase.org/job/47455097/manufacturing-engineering-intern-2?utm_source=jobs_directory,2023-11-07
Manufacturing Engineering Intern 1,Amogy,"Houston, Texas, United States",Energy,Intern,https://climatebase.org/job/47455096/manufacturing-engineering-intern-1?utm_source=jobs_directory,2023-11-07
Wind Technician III - Little Cotton Cluster - Campbell NE,NextEra Energy,"Campbell, NE",Energy,Full Time,https://climatebase.org/job/47451867/wind-technician-iii---little-cotton-cluster---campbell-ne?utm_source=jobs_directory,2023-11-07
Control Operator (Plant Point Beach),NextEra Energy,"Two Rivers, WI",Energy,Full Time,https://climatebase.org/job/47443249/control-operator-plant-point-beach?utm_source=jobs_directory,2023-11-06
Sr PGD Engineer,NextEra Energy,"Hawthorne, FL",Energy,Full Time,https://climatebase.org/job/47443035/sr-pgd-engineer?utm_source=jobs_directory,2023-11-06
Assoc Gas Operations Technician,NextEra Energy,"Salt Lake, UT",Energy,Full Time,https://climatebase.org/job/47443007/assoc-gas-operations-technician?utm_source=jobs_directory,2023-11-06
Associate Resource Modeling Analyst WL,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47442998/associate-resource-modeling-analyst-wl?utm_source=jobs_directory,2023-11-06
Environmental Services Project Manager,NextEra Energy,"Houston, TX",Energy,Full Time,https://climatebase.org/job/47335502/environmental-services-project-manager?utm_source=jobs_directory,2023-11-06
Senior Fossil Reliability Engineer,NextEra Energy,"Palm Beach Gardens, FL",Energy,Full Time,https://climatebase.org/job/47327899/senior-fossil-reliability-engineer?utm_source=jobs_directory,2023-11-06
"Wind Technician III - Woodward Mountain - McCamey, TX",NextEra Energy,"McCamey, TX",Energy,Full Time,https://climatebase.org/job/47242689/wind-technician-iii---woodward-mountain---mccamey-tx?utm_source=jobs_directory,2023-11-06
"Wind Technician III - Lacy Creek - Garden City, TX",NextEra Energy,"Garden City, TX",Energy,Full Time,https://climatebase.org/job/46979627/wind-technician-iii---lacy-creek---garden-city-tx?utm_source=jobs_directory,2023-11-06
"Project Engineering Leader, Solar (Remote) - Distributed Generation",NextEra Energy,"Remote (Juno Beach, FL)",Energy,Full Time,https://climatebase.org/job/47290505/project-engineering-leader-solar-remote---distributed-generation?utm_source=jobs_directory,2023-11-05
Customer Service Advisor - Summer Intern 2024,NextEra Energy,"Miami, FL",Energy,Intern,https://climatebase.org/job/47441117/customer-service-advisor---summer-intern-2024?utm_source=jobs_directory,2023-11-05
Project Management Consultant - E&C,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47415024/project-management-consultant---ec?utm_source=jobs_directory,2023-11-05
Associate PGD Engineer,NextEra Energy,"Palm Beach Gardens, FL",Energy,Full Time,https://climatebase.org/job/47415018/associate-pgd-engineer?utm_source=jobs_directory,2023-11-05
Structured Origination Summer College Intern,NextEra Energy,"Houston, TX",Energy,Intern,https://climatebase.org/job/47415013/structured-origination-summer-college-intern?utm_source=jobs_directory,2023-11-05
Associate PGD Engineer - FPL Solar - North FL,NextEra Energy,"Hawthorne, FL",Energy,Full Time,https://climatebase.org/job/47386771/associate-pgd-engineer---fpl-solar---north-fl?utm_source=jobs_directory,2023-11-05
"Associate PGD Engineer - Fort Pierce, FL Area",NextEra Energy,"Fort Pierce, FL",Energy,Full Time,https://climatebase.org/job/47386761/associate-pgd-engineer---fort-pierce-fl-area?utm_source=jobs_directory,2023-11-05
Associate Sourcing Specialist,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47360699/associate-sourcing-specialist?utm_source=jobs_directory,2023-11-05
Electrical Engineer II,NextEra Energy,"West Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47354338/electrical-engineer-ii?utm_source=jobs_directory,2023-11-05
Mechanical Engineer II,NextEra Energy,"West Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47354280/mechanical-engineer-ii?utm_source=jobs_directory,2023-11-05
"Field Operations HV Technician III - Cedar Springs: CO, WY, ND",NextEra Energy,"Douglas, WY",Energy,Full Time,https://climatebase.org/job/47342930/field-operations-hv-technician-iii---cedar-springs-co-wy-nd?utm_source=jobs_directory,2023-11-05
Overnight Associate Industrial Engine Operator / Mechanic - Carleton Farms Landfill - Michigan,NextEra Energy,"New Boston, MI",Energy,Full Time,https://climatebase.org/job/47342922/overnight-associate-industrial-engine-operator--mechanic---carleton-farms-landfill---michigan?utm_source=jobs_directory,2023-11-05
NextEra Analytics Research & Data Scientist - College Intern,NextEra Energy,"St. Paul, MN",Energy,Intern,https://climatebase.org/job/47335451/nextera-analytics-research--data-scientist---college-intern?utm_source=jobs_directory,2023-11-05
NextEra Analytics Measurement & Control Engineer - College Intern,NextEra Energy,"Juno Beach, FL",Energy,Intern,https://climatebase.org/job/47335440/nextera-analytics-measurement--control-engineer---college-intern?utm_source=jobs_directory,2023-11-05
NextEra Analytics Technical Sales - College Intern,NextEra Energy,"Juno Beach, FL",Energy,Intern,https://climatebase.org/job/47335439/nextera-analytics-technical-sales---college-intern?utm_source=jobs_directory,2023-11-05
"Wind Technician III - White Hills Wind - White Hills, Arizona",NextEra Energy,"White Hills, AZ",Energy,Full Time,https://climatebase.org/job/47328179/wind-technician-iii---white-hills-wind---white-hills-arizona?utm_source=jobs_directory,2023-11-05
Senior Power Delivery Summer College Intern- Distribution,NextEra Energy,"Jupiter, FL",Energy,Intern,https://climatebase.org/job/47327913/senior-power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Ft Myers, FL",Energy,Intern,https://climatebase.org/job/47327912/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05
"Wind Technician III - Horse Hollow Wind - Abilene, TX",NextEra Energy,"Wingate, TX",Energy,Full Time,https://climatebase.org/job/47327908/wind-technician-iii---horse-hollow-wind---abilene-tx?utm_source=jobs_directory,2023-11-05
Crew Leader - 1055 - Smith Plant,NextEra Energy,"Southport, FL",Energy,Full Time,https://climatebase.org/job/47327901/crew-leader---1055---smith-plant?utm_source=jobs_directory,2023-11-05
Associate Accountant,NextEra Energy,"Juno Beach, FL",Energy,Full Time,https://climatebase.org/job/47299357/associate-accountant?utm_source=jobs_directory,2023-11-05
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Sanford, FL",Energy,Intern,https://climatebase.org/job/47299353/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II- Duane Arnold Solar I-Linn County, IA",NextEra Energy,"Palo, IA",Energy,Full Time,https://climatebase.org/job/47290496/pv-solar-field-technician-ii--duane-arnold-solar-i-linn-county-ia?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician III - Yellow Pine Solar - Enterprise, NV",NextEra Energy,"Enterprise, NV",Energy,Full Time,https://climatebase.org/job/47290491/pv-solar-field-technician-iii---yellow-pine-solar---enterprise-nv?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Proxima, CA",NextEra Energy,"Five Points, CA",Energy,Full Time,https://climatebase.org/job/47290489/pv-solar-field-technician-ii---proxima-ca?utm_source=jobs_directory,2023-11-05
Senior Project Manager Development,NextEra Energy,"North Palm Beach, FL",Energy,Full Time,https://climatebase.org/job/47290488/senior-project-manager-development?utm_source=jobs_directory,2023-11-05
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Bradenton, FL",Energy,Intern,https://climatebase.org/job/47273590/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05
Power Delivery Summer College Intern- Distribution,NextEra Energy,"Melbourne, FL",Energy,Intern,https://climatebase.org/job/47269361/power-delivery-summer-college-intern--distribution?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Yellow Pine Solar - Enterprise, NV",NextEra Energy,"Enterprise, NV",Energy,Full Time,https://climatebase.org/job/47234804/pv-solar-field-technician-ii---yellow-pine-solar---enterprise-nv?utm_source=jobs_directory,2023-11-05
Nuclear Electrical Engineer Associate,NextEra Energy,"Jupiter, FL",Energy,Full Time,https://climatebase.org/job/47225945/nuclear-electrical-engineer-associate?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Stuttgart Solar - Stuttgart, AR",NextEra Energy,"Arkansas, AR",Energy,Full Time,https://climatebase.org/job/47225932/pv-solar-field-technician-ii---stuttgart-solar---stuttgart-ar?utm_source=jobs_directory,2023-11-05
Summer College Intern-Jupiter West Florida Nuclear Fleet,NextEra Energy,"Jupiter, FL",Energy,Intern,https://climatebase.org/job/47225928/summer-college-intern-jupiter-west-florida-nuclear-fleet?utm_source=jobs_directory,2023-11-05
Summer College Internship -Jupiter West Florida Nuclear Fleet,NextEra Energy,"Jupiter, FL",Energy,Intern,https://climatebase.org/job/47225921/summer-college-internship--jupiter-west-florida-nuclear-fleet?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Sky Ranch Solar - Belen, NM",NextEra Energy,"Seboyeta, NM",Energy,Full Time,https://climatebase.org/job/47225918/pv-solar-field-technician-ii---sky-ranch-solar---belen-nm?utm_source=jobs_directory,2023-11-05
Nuclear Electrical Engineer I,NextEra Energy,"Jupiter, FL",Energy,Full Time,https://climatebase.org/job/47217023/nuclear-electrical-engineer-i?utm_source=jobs_directory,2023-11-05
Nuclear Civil Engineer II,NextEra Energy,"Seabrook, NH",Energy,Full Time,https://climatebase.org/job/47179371/nuclear-civil-engineer-ii?utm_source=jobs_directory,2023-11-05
PGD Maintenance Specialist,NextEra Energy,"Ft Myers, FL",Energy,Full Time,https://climatebase.org/job/47168437/pgd-maintenance-specialist?utm_source=jobs_directory,2023-11-05
"Associate Inventory Services Specialist - Callahan, FL",NextEra Energy,"Callahan, FL",Energy,Full Time,https://climatebase.org/job/47144509/associate-inventory-services-specialist---callahan-fl?utm_source=jobs_directory,2023-11-05
Reactor Control Operator (Shift),NextEra Energy,"Jensen Beach, FL",Energy,Full Time,https://climatebase.org/job/47144495/reactor-control-operator-shift?utm_source=jobs_directory,2023-11-05
"Field Operations HV Technician III - Miles City, MT - Clearwater Wind",NextEra Energy,"Miles City, MT",Energy,Full Time,https://climatebase.org/job/47144493/field-operations-hv-technician-iii---miles-city-mt---clearwater-wind?utm_source=jobs_directory,2023-11-05
EXPERIENCED Overhead Journeyman Lineman,NextEra Energy,"Hialeah, FL",Energy,Full Time,https://climatebase.org/job/47124405/experienced-overhead-journeyman-lineman?utm_source=jobs_directory,2023-11-05
"PV Solar Field Technician II - Distributive Generation - Rodeo, CA",NextEra Energy,"San Francisco, CA",Energy,Full Time,https://climatebase.org/job/47124388/pv-solar-field-technician-ii---distributive-generation---rodeo-ca?utm_source=jobs_directory,2023-11-05
